Sequence Feature > Primary DBID	Sequence Feature > Secondary Identifier	Sequence Feature > Standard Name	Sequence Feature > Sgd Alias	Sequence Feature > Description	Sequence Feature > Feature Type
S000003986	YLL063C	AYT1	acetyltransferase	Acetyltransferase; catalyzes trichothecene 3-O-acetylation, suggesting a possible role in trichothecene biosynthesis	ORF
S000001923	YFR027W	ECO1	CTF7	Acetyltransferase; required for establishment of sister chromatid cohesion; acetylates Mps3p to regulate nuclear organization; modifies Smc3p at replication forks and Mcd1p in response to dsDNA breaks; phosphorylated by three kinases (Cdc28p, Cdc7p, Mck1p) to generate pair of phosphates spaced precisely for recognition by ubiquitin ligase SCF-Cdc4; mutations in human homolog ESCO2 cause Roberts syndrome; relative distribution to nucleus increases upon DNA replication stress	ORF
S000002458	YDR051C	DET1	acid phosphatase DET1	Acid phosphatase; involved in the non-vesicular transport of sterols in both directions between the endoplasmic reticulum and plasma membrane; deletion confers sensitivity to nickel	ORF
S000006230	YPR026W	ATH1	alpha,alpha-trehalase ATH1	Acid trehalase required for utilization of extracellular trehalose; involved in intracellular trehalose degradation during growth recovery after saline stress	ORF
S000004611	YMR009W	ADI1	acireductone dioxygenase (Ni2+-requiring)	Acireductone dioxygenease involved in methionine salvage pathway; transcribed as polycistronic mRNA with YMR010W and regulated post-transcriptionally by RNase III (Rnt1p) cleavage; ADI1 mRNA is induced in heat shock conditions; human ortholog ADI1 can complement yeast adi1 mutant	ORF
S000004295	YLR304C	ACO1	GLU1 aconitate hydratase ACO1	Aconitase; required for the tricarboxylic acid (TCA) cycle and also independently required for mitochondrial genome maintenance; component of the mitochondrial nucleoid; mutation leads to glutamate auxotrophy; human homolog ACO2 can complement yeast null mutant	ORF
S000004311	YLR319C	BUD6	AIP3	Actin- and formin-interacting protein; participates in actin cable assembly and organization as a nucleation-promoting factor (NPF) for formins Bni1p and Bnr1p; a triple helical coiled-coil domain in the C-terminal region interacts with Bni1p; involved in polarized cell growth; isolated as bipolar budding mutant; potential Cdc28p substrate	ORF
S000005707	YOR181W	LAS17	actin-binding protein LAS17 BEE1	Actin assembly factor; C-terminal WCA domain activates Arp2/3 complex-mediated nucleation of branched actin filaments, polyproline domain nucleates actin filaments independent of Arp2/3; mutants are defective in endocytosis, bud site selection, cytokinesis; human homolog WAS (Wiskott-Aldrich Syndrome) implicated in severe immunodeficiency; human WAS complements yeast null mutant, but only in presence of WIPF1, which mediates localization of WAS to cortical patches	ORF
S000001058	YHR016C	YSC84	LSB4	Actin-binding protein; involved in bundling of actin filaments and endocytosis of actin cortical patches; activity stimulated by Las17p; contains SH3 domain similar to Rvs167p; YSC84 has a paralog, LSB3, that arose from the whole genome duplication	ORF
S000000684	YCR088W	ABP1	""	Actin-binding protein of the cortical actin cytoskeleton; important for activation of the Arp2/3 complex that plays a key role actin in cytoskeleton organization; inhibits barbed-end actin filament elongation; phosphorylation within its Proline-Rich Regio, mediated by Cdc28p and Pho85p, protects Abp1p from proteolysis mediated by its own PEST sequences; mammalian homologue of HIP-55 (hematopoietic progenitor kinase 1 [HPK1]-interacting protein of 55 kDa)	ORF
S000004698	YMR092C	AIP1	""	Actin cortical patch component; interacts with the actin depolymerizing factor cofilin; inhibits elongation of aged ADP-actin filaments decorated with cofilin to maintain a high level of assembly-competent actin species; required to restrict cofilin localization to cortical patches; putative regulator of cytokinesis; contains WD repeats; protein increases in abundance and relocalizes from cytoplasm to plasma membrane upon DNA replication stress	ORF
S000001171	YHR129C	ARP1	actin-related protein 1 ACT5	Actin-related protein of the dynactin complex; required for spindle orientation and nuclear migration; forms actin-like short filament composed of 9 or 10 Arp1p monomers; putative ortholog of mammalian centractin	ORF
S000004075	YLR085C	ARP6	""	Actin-related protein that binds nucleosomes; a component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A	ORF
S000001855	YFL039C	ACT1	actin END7 ABY1	Actin; structural protein involved in cell polarization, endocytosis, and other cytoskeletal functions	ORF
S000003083	YGL115W	SNF4	AMP-activated serine/threonine-protein kinase regulatory subunit SNF4 SCI1 CAT3	Activating gamma subunit of the AMP-activated Snf1p kinase complex; additional subunits of the complex are Snf1p and a Sip1p/Sip2p/Gal83p family member; activates glucose-repressed genes, represses glucose-induced genes; role in sporulation, and peroxisome biogenesis; protein abundance increases in response to DNA replication stress	ORF
S000003084	YGL116W	CDC20	PAC5 ubiquitin-protein transferase activating protein CDC20	Activator of anaphase-promoting complex/cyclosome (APC/C); APC/C is required for metaphase/anaphase transition; directs ubiquitination of mitotic cyclins, Pds1p, and other anaphase inhibitors; cell-cycle regulated; potential Cdc28p substrate; relative distribution to the nucleus increases upon DNA replication stress	ORF
S000002971	YGL003C	CDH1	HCT1	Activator of anaphase-promoting complex/cyclosome (APC/C); cell-cycle regulated; directs ubiquitination of cyclins resulting in mitotic exit; targets the APC/C to specific substrates including Cdc20p, Ase1p, Cin8p and Fin1p	ORF
S000001859	YFL034C-B	MOB2	YFL035C YFL035C-A	Activator of Cbk1p kinase; component of the RAM signaling network that regulates cellular polarity and morphogenesis; activation of Cbk1p facilitates the Ace2p-dependent daughter cell-specific transcription of genes involved in cell separation; similar to Mob1p	ORF
S000000157	YBL061C	SKT5	CAL2 CHS4 CSD4	Activator of Chs3p (chitin synthase III) during vegetative growth; recruits Chs3p to the bud neck via interaction with Bni4p; SKT5 has a paralog, SHC1, that arose from the whole genome duplication	ORF
S000005592	YOR066W	MSA1	YOR29-17	Activator of G1-specific transcription factors MBF and SBF; involved in regulation of the timing of G1-specific gene transcription and cell cycle initiation; localization is cell-cycle dependent and regulated by Cdc28p phosphorylation; MSA1 has a paralog, MSA2, that arose from the whole genome duplication	ORF
S000003457	YGR225W	AMA1	SPO70	Activator of meiotic anaphase promoting complex (APC/C); Cdc20p family member; required for initiation of spore wall assembly; required for Clb1p degradation during meiosis; prevents premature assembly of the meiosis I spindle, required for DSB induced prophase I arrest	ORF
S000001077	YHR035W	NEL1	""	Activator of Sar1p GTPase activity; paralog of Sec23 but does not associate with the COPII components; not an essential gene	ORF
S000003269	YGR037C	ACB1	long-chain fatty acid transporter ACB1	Acyl-CoA-binding protein; transports newly synthesized acyl-CoA esters from fatty acid synthetase (Fas1p-Fas2p) to acyl-CoA-consuming processes; subject to starvation-induced, Grh1p-mediated unconventional secretion; protein abundance increases in response to DNA replication stress	ORF
S000000644	YCR048W	ARE1	sterol acyltransferase SAT2	Acyl-CoA:sterol acyltransferase; endoplasmic reticulum enzyme that contributes the major sterol esterification activity in the absence of oxygen; ARE1 has a paralog, ARE2, that arose from the whole genome duplication	ORF
S000005302	YNR019W	ARE2	SAT1 sterol acyltransferase	Acyl-CoA:sterol acyltransferase; endoplasmic reticulum enzyme that contributes the major sterol esterification activity in the presence of oxygen; ARE2 has a paralog, ARE1, that arose from the whole genome duplication	ORF
S000000381	YBR177C	EHT1	medium-chain fatty acid ethyl ester synthase/esterase	Acyl-coenzymeA:ethanol O-acyltransferase; plays a minor role in medium-chain fatty acid ethyl ester biosynthesis; possesses short-chain esterase activity; localizes to lipid particles and the mitochondrial outer membrane; EHT1 has a paralog, EEB1, that arose from the whole genome duplication	ORF
S000006016	YPL095C	EEB1	medium-chain fatty acid ethyl ester synthase/esterase	Acyl-coenzymeA:ethanol O-acyltransferase; responsible for the major part of medium-chain fatty acid ethyl ester biosynthesis during fermentation; possesses short-chain esterase activity; may be involved in lipid metabolism and detoxification; EEB1 has a paralog, EHT1, that arose from the whole genome duplication	ORF
S000004108	YLR118C	""	palmitoyl-(protein) hydrolase APT1	Acyl-protein thioesterase responsible for depalmitoylation of Gpa1p; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and nucleus and is induced in response to the DNA-damaging agent MMS	ORF
S000005291	YNR008W	LRO1	phospholipid:diacylglycerol acyltransferase	Acyltransferase that catalyzes diacylglycerol esterification; one of several acyltransferases that contribute to triglyceride synthesis; Lro1p and Dga1p can O-acylate ceramides; putative homolog of human lecithin cholesterol acyltransferase	ORF
S000006253	YPR049C	ATG11	CVT9 CVT3 autophagy protein ATG11	Adapter protein for pexophagy and the Cvt targeting pathway; directs receptor-bound cargo to the phagophore assembly site (PAS) for packaging into vesicles; required for recruiting other proteins to the PAS; recruits Dnm1p to facilitate fission of mitochondria that are destined for removal by mitophagy	ORF
S000006375	YPR171W	BSP1	""	Adapter that links synaptojanins to the cortical actin cytoskeleton; the synaptojanins are Inp52p and Inp53p 	ORF
S000000537	YCL032W	STE50	""	Adaptor protein for various signaling pathways; involved in mating response, invasive/filamentous growth, osmotolerance; acts as an adaptor that links G protein-associated Cdc42p-Ste20p complex to the effector Ste11p to modulate signal transduction	ORF
S000002731	YDR323C	PEP7	VAC1 VPL21 VPS19 VPT19	Adaptor protein involved in vesicle-mediated vacuolar protein sorting; multivalent adaptor protein; facilitates vesicle-mediated vacuolar protein sorting by ensuring high-fidelity vesicle docking and fusion, which are essential for targeting of vesicles to the endosome; required for vacuole inheritance	ORF
S000006175	YPL254W	HFI1	GAN1 ADA1 SUP110 SRM12	Adaptor protein required for structural integrity of the SAGA complex; a histone acetyltransferase-coactivator complex that is involved in global regulation of gene expression through acetylation and transcription functions	ORF
S000005187	YNL243W	SLA2	END4 MOP2	Adaptor protein that links actin to clathrin and endocytosis; involved in membrane cytoskeleton assembly and cell polarization; present in the actin cortical patch of the emerging bud tip; dimer in vivo	ORF
S000005085	YNL141W	AAH1	adenine deaminase	Adenine deaminase (adenine aminohydrolase); converts adenine to hypoxanthine; involved in purine salvage; transcriptionally regulated by nutrient levels and growth phase; Aah1p degraded upon entry into quiescence via SCF and the proteasome	ORF
S000004484	YML022W	APT1	adenine phosphoribosyltransferase APT1	Adenine phosphoribosyltransferase; catalyzes the formation of AMP from adenine and 5-phosphoribosylpyrophosphate; involved in the salvage pathway of purine nucleotide biosynthesis; APT1 has a paralog, APT2, that arose from the whole genome duplication	ORF
S000002283	YDL125C	HNT1	adenosine 5'-monophosphoramidase	Adenosine 5'-monophosphoramidase; interacts physically and genetically with Kin28p, a CDK and TFIIK subunit, and genetically with CAK1; member of histidine triad (HIT) superfamily of nucleotide-binding proteins; protein abundance increases in response to DNA replication stress; human homolog HINT1 can complement yeast hnt1 mutant	ORF
S000003866	YJR105W	ADO1	adenosine kinase	Adenosine kinase; required for the utilization of S-adenosylmethionine (AdoMet); may be involved in recycling adenosine produced through the methyl cycle	ORF
S000003542	YJL005W	CYR1	FIL1 adenylate cyclase CDC35 HSR1 SRA4 TSM0185	Adenylate cyclase; required for cAMP production and cAMP-dependent protein kinase signaling; the cAMP pathway controls a variety of cellular processes, including metabolism, cell cycle, stress response, stationary phase, and sporulation	ORF
S000002634	YDR226W	ADK1	adenylate kinase ADK1 AKY1 AKY2	Adenylate kinase, required for purine metabolism; localized to the cytoplasm and the mitochondria; lacks cleavable signal sequence; protein abundance increases in response to DNA replication stress; mutations affecting Adk1p catalytic activity deregulate expression of phosphate utilization genes PHO5 and PHO84; human homolog AK1 can complement yeast adk1 mutant	ORF
S000004351	YLR359W	ADE13	BRA1 BRA8 adenylosuccinase ADE13	Adenylosuccinate lyase; catalyzes two steps in the 'de novo' purine nucleotide biosynthetic pathway; expression is repressed by adenine and activated by Bas1p and Pho2p; mutations in human ortholog ADSL cause adenylosuccinase deficiency; human ADSL can complement yeast ADE13 null mutant	ORF
S000005164	YNL220W	ADE12	BRA9 adenylosuccinate synthase	Adenylosuccinate synthase; catalyzes the first step in synthesis of adenosine monophosphate from inosine 5'monophosphate during purine nucleotide biosynthesis; exhibits binding to single-stranded autonomously replicating (ARS) core sequence	ORF
S000001484	YKL001C	MET14	adenylyl-sulfate kinase	Adenylylsulfate kinase; required for sulfate assimilation and involved in methionine metabolism; human homolog PAPSS2 complements yeast null mutant	ORF
S000003000	YGL032C	AGA2	""	Adhesion subunit of a-agglutinin of a-cells; C-terminal sequence acts as a ligand for alpha-agglutinin (Sag1p) during agglutination, modified with O-linked oligomannosyl chains, linked to anchorage subunit Aga1p via two disulfide bonds	ORF
S000001372	YIL110W	HPM1	MNI1	AdoMet-dependent methyltransferase; involved in a novel 3-methylhistidine modification of ribosomal protein Rpl3p; seven beta-strand MTase family member; null mutant exhibits a weak vacuolar protein sorting defect and caspofungin resistance	ORF
S000000559	YCL054W	SPB1	27S pre-rRNA (guanosine2922-2'-O)-methyltransferase	AdoMet-dependent methyltransferase; involved in rRNA processing and 60S ribosomal subunit maturation; methylates G2922 in the tRNA docking site of the large subunit rRNA and in the absence of snR52, U2921; suppressor of PAB1 mutants	ORF
